sample-id,frequency
SRR7876608,747430.0
SRR7876628,418526.0
SRR7876589,306420.0
SRR7876584,276467.0
SRR7876633,273257.0
SRR7876605,267066.0
SRR7876631,264355.0
SRR5377931,262546.0
SRR5383327,260612.0
SRR5377908,259842.0
SRR7876578,253396.0
SRR5377967,250430.0
SRR5383011,250164.0
SRR5377943,250038.0
SRR7876641,248449.0
SRR5383314,248164.0
SRR5383339,248103.0
SRR5383352,247877.0
SRR5377920,244335.0
SRR5382999,239795.0
SRR5382987,237944.0
SRR5382866,237177.0
SRR5382902,236482.0
SRR5383140,234258.0
SRR5383214,233508.0
SRR7876576,233340.0
SRR7876554,233073.0
SRR5378072,232705.0
SRR5383077,230815.0
SRR5377872,229534.0
SRR5377884,228785.0
SRR5377860,228721.0
SRR5383102,226235.0
SRR5382975,226119.0
SRR7876571,226019.0
SRR5377955,225376.0
SRR5382877,225298.0
SRR5383090,224987.0
SRR5383152,224752.0
SRR5377979,224673.0
SRR5382885,223516.0
SRR5383365,222474.0
SRR5383023,222339.0
SRR5383052,221103.0
SRR5383177,220581.0
SRR5383302,220060.0
SRR5382915,217917.0
SRR5383202,216845.0
SRR5383128,216583.0
SRR5377991,216487.0
SRR5383064,215621.0
SRR7876568,214815.0
SRR5383227,213968.0
SRR7876635,212144.0
SRR5383252,211672.0
SRR5383377,211351.0
SRR5383190,211136.0
SRR7876647,210649.0
SRR5383165,209888.0
SRR7876638,208879.0
SRR5382923,208645.0
SRR7876587,208098.0
SRR5383289,207694.0
SRR5383035,207552.0
SRR5382854,206743.0
SRR5383239,204178.0
SRR5378003,203900.0
SRR5383264,202797.0
SRR7876618,202555.0
SRR7876564,198627.0
SRR5378015,198511.0
SRR5378053,196563.0
SRR7876573,195552.0
SRR7876596,179363.0
SRR7876614,178375.0
SRR7876529,177206.0
SRR7876627,168871.0
SRR5382943,164362.0
SRR7876630,159873.0
SRR7876642,154496.0
SRR7876626,152948.0
SRR7876534,152534.0
SRR7876637,146231.0
SRR7876548,144264.0
SRR7876547,143553.0
SRR7876621,141725.0
SRR7876579,140127.0
SRR7876606,138469.0
SRR7876620,135973.0
SRR7876530,135524.0
SRR7876591,131155.0
SRR7876623,128238.0
SRR7876581,126125.0
SRR7876632,124714.0
SRR7876537,124478.0
SRR7876613,124436.0
SRR7876552,122738.0
SRR7876624,120596.0
SRR7876542,118653.0
SRR7876617,116895.0
SRR7876550,116509.0
SRR7876611,114552.0
SRR7876535,114451.0
SRR7876563,112625.0
SRR7876634,112565.0
SRR7876539,108890.0
SRR7876549,104198.0
SRR7876599,103266.0
SRR7876640,101335.0
SRR7876532,98539.0
